Word,Rank,Frequency
listen,1608,339
confess,1609,339
upright,1610,339
innocent,1611,339
important,1612,339
french,1613,339
ended,1614,339
dance,1615,339
cursed,1616,339
created,1617,339
officers,1618,339
flee,1619,339
generally,1620,339
increased,1621,338
anxious,1622,336
flask,1623,336
prepare,1624,336
path,1625,336
blessing,1626,336
desired,1627,336
thousands,1628,336
whenever,1629,336
latter,1630,336
scattered,1631,336
exceedingly,1632,336
outside,1633,336
leonora,1634,336
tower,1635,336
distress,1636,336
dropped,1637,334
eager,1638,333
gentle,1639,333
milk,1640,333
weight,1641,333
lines,1642,333
stretched,1643,333
whilst,1644,333
attachment,1645,333
expect,1646,331
weak,1647,330
hal,1648,330
threw,1649,330
opening,1650,330
acquainted,1651,330
substance,1652,330
swift,1653,330
sailor,1654,330
colour,1655,330
breadth,1656,330
gospel,1657,330
ram,1658,327
rolled,1659,327
solemn,1660,327
signs,1661,327
pause,1662,327
awake,1663,327
mistaken,1664,327
obey,1665,327
plan,1666,324
chair,1667,324
committed,1668,324
comfortable,1669,324
hung,1670,324
established,1671,324
hamlet,1672,324
spare,1673,324
driven,1674,324
heat,1675,324
absalom,1676,324
anointed,1677,324
separate,1678,324
falling,1679,323
key,1680,322
legs,1681,321
troubled,1682,321
hoped,1683,321
ile,1684,321
idols,1685,321
clock,1686,321
cassi,1687,321
famine,1688,321
conscience,1689,321
hor,1690,321
purple,1691,321
ass,1692,321
james,1693,320
flame,1694,318
satisfaction,1695,318
jonah,1696,318
fully,1697,318
peculiar,1698,318
wheel,1699,318
egyptians,1700,318
strike,1701,318
consumed,1702,318
forced,1703,318
arrived,1704,318
mentioned,1705,316
highest,1706,316
landlord,1707,315
putting,1708,315
favourite,1709,315
bent,1710,315
extraordinary,1711,315
allowed,1712,313
terror,1713,312
passion,1714,312
knoweth,1715,312
faint,1716,312
ring,1717,312
resolved,1718,312
share,1719,311
america,1720,310
various,1721,310
shoulders,1722,309
mortal,1723,309
doe,1724,309
leviathan,1725,309
breast,1726,309
convinced,1727,309
dost,1728,309
friendship,1729,309
shook,1730,309
mate,1731,309
returning,1732,309
queer,1733,309
pool,1734,309
choice,1735,309
ends,1736,307
mistake,1737,306
elizabeth,1738,306
slow,1739,306
persuaded,1740,306
folly,1741,306
telling,1742,306
serpent,1743,306
esau,1744,306
books,1745,306
begun,1746,306
hopes,1747,304
confusion,1748,303
refuse,1749,303
patience,1750,303
sand,1751,303
gilead,1752,303
affliction,1753,303
finding,1754,303
frightened,1755,303
eating,1756,303
admiral,1757,303
moving,1758,303
goats,1759,303
pour,1760,303
opposite,1761,303
dancing,1762,303
heed,1763,303
completely,1764,301
pointed,1765,301
astonishment,1766,300
stead,1767,300
liked,1768,300
glance,1769,300
cabin,1770,300
behaviour,1771,300
secure,1772,300
